Year,Monthly/Quarterly,Labor Force Participation Rate,Employment Rate,Unemployment Rate,Underemployment Rate,Visible Underemployment Rate
2015,September,0.0,0.0,0.0,0.0,0.0
2015,October,63.3,94.38,5.62,17.65,10.08
2015,November,0.0,0.0,0.0,0.0,0.0
2015,December,0.0,0.0,0.0,0.0,0.0
2015,Annual,63.63,93.73,6.27,18.59,10.93
2014,January,63.76,92.46,7.54,19.5,11.97
2014,February,0.0,0.0,0.0,0.0,0.0
2014,March,0.0,0.0,0.0,0.0,0.0
2014,April,65.21,92.97,7.03,18.17,11.56
2014,May,0.0,0.0,0.0,0.0,0.0
2014,June,0.0,0.0,0.0,0.0,0.0
2014,July,64.4,93.26,6.74,18.33,11.38
2014,August,0.0,0.0,0.0,0.0,0.0
2014,September,0.0,0.0,0.0,0.0,0.0
2014,October,64.3,93.99,6.01,18.74,10.94
2014,November,0.0,0.0,0.0,0.0,0.0
2014,December,0.0,0.0,0.0,0.0,0.0
2014,Annual,64.42,93.17,6.83,18.69,11.46
2013,January,64.08,92.91,7.09,20.91,11.86
2013,February,0.0,0.0,0.0,0.0,0.0
2013,March,0.0,0.0,0.0,0.0,0.0
2013,April,63.83,92.45,7.55,19.17,10.72
2013,May,0.0,0.0,0.0,0.0,0.0
2013,June,0.0,0.0,0.0,0.0,0.0
2013,July,63.87,92.71,7.29,19.23,11.19
2013,August,0.0,0.0,0.0,0.0,0.0
2013,September,0.0,0.0,0.0,0.0,0.0
2013,October,63.92,93.6,6.4,18.06,11.57
2013,November,0.0,0.0,0.0,0.0,0.0
2013,December,0.0,0.0,0.0,0.0,0.0
2013,Annual,63.92,92.92,7.08,19.34,11.33
2012,January,64.17,92.81,7.19,18.8,11.5
2012,February,0.0,0.0,0.0,0.0,0.0
2012,March,0.0,0.0,0.0,0.0,0.0
2012,April,64.68,93.11,6.89,19.33,12.82
2012,May,0.0,0.0,0.0,0.0,0.0
2012,June,0.0,0.0,0.0,0.0,0.0
2012,July,64.01,92.95,7.05,22.81,12.45
2012,August,0.0,0.0,0.0,0.0,0.0
2012,September,0.0,0.0,0.0,0.0,0.0
2012,October,63.87,93.16,6.84,19.01,10.98
2012,November,0.0,0.0,0.0,0.0,0.0
2012,December,0.0,0.0,0.0,0.0,0.0
2012,Annual,64.18,93.01,6.99,19.98,11.94
2011,January,63.72,92.56,7.44,19.43,12.24
2011,February,0.0,0.0,0.0,0.0,0.0
2011,March,0.0,0.0,0.0,0.0,0.0
2011,April,64.25,92.77,7.23,19.36,11.96
2011,May,0.0,0.0,0.0,0.0,0.0
2011,June,0.0,0.0,0.0,0.0,0.0
2011,July,64.34,92.93,7.07,19.12,10.96
2011,August,0.0,0.0,0.0,0.0,0.0
2011,September,0.0,0.0,0.0,0.0,0.0
2011,October,66.26,93.58,6.42,19.15,11.54
2011,November,0.0,0.0,0.0,0.0,0.0
2011,December,0.0,0.0,0.0,0.0,0.0
2011,Annual,64.64,92.96,7.04,19.26,11.67
2010,January,64.5,92.72,7.28,19.74,11.59
2010,February,0.0,0.0,0.0,0.0,0.0
2010,March,0.0,0.0,0.0,0.0,0.0
2010,April,63.6,91.95,8.05,17.78,11.02
2010,May,0.0,0.0,0.0,0.0,0.0
2010,June,0.0,0.0,0.0,0.0,0.0
2010,July,63.92,93.04,6.96,17.95,10.69
2010,August,0.0,0.0,0.0,0.0,0.0
2010,September,0.0,0.0,0.0,0.0,0.0
2010,October,64.23,92.88,7.12,19.57,11.26
2010,November,0.0,0.0,0.0,0.0,0.0
2010,December,0.0,0.0,0.0,0.0,0.0
2010,Annual,64.06,92.65,7.35,18.76,11.14
2009,January,63.3,92.31,7.69,18.21,11.63
2009,February,0.0,0.0,0.0,0.0,0.0
2009,March,0.0,0.0,0.0,0.0,0.0
2009,April,64.0,92.53,7.47,18.92,12.39
2009,May,0.0,0.0,0.0,0.0,0.0
2009,June,0.0,0.0,0.0,0.0,0.0
2009,July,64.6,92.4,7.6,19.81,11.12
2009,August,0.0,0.0,0.0,0.0,0.0
2009,September,0.0,0.0,0.0,0.0,0.0
2009,October,63.98,92.88,7.12,19.38,12.04
2009,November,0.0,0.0,0.0,0.0,0.0
2009,December,0.0,0.0,0.0,0.0,0.0
2009,Annual,63.97,92.53,7.47,19.08,11.79
2008,January,63.4,92.64,7.36,18.9,11.94
2008,February,0.0,0.0,0.0,0.0,0.0
2008,March,0.0,0.0,0.0,0.0,0.0
2008,April,63.17,92.0,8.0,19.76,12.0
2008,May,0.0,0.0,0.0,0.0,0.0
2008,June,0.0,0.0,0.0,0.0,0.0
2008,July,64.3,92.64,7.36,21.08,12.09
2008,August,0.0,0.0,0.0,0.0,0.0
2008,September,0.0,0.0,0.0,0.0,0.0
2008,October,63.7,93.18,6.82,17.46,11.12
2008,November,0.0,0.0,0.0,0.0,0.0
2008,December,0.0,0.0,0.0,0.0,0.0
2008,Annual,63.64,92.62,7.38,19.3,11.79
2007,January,64.8,92.17,7.83,21.5,12.88
2007,February,0.0,0.0,0.0,0.0,0.0
2007,March,0.0,0.0,0.0,0.0,0.0
2007,April,64.5,92.6,7.4,18.92,13.02
2007,May,0.0,0.0,0.0,0.0,0.0
2007,June,0.0,0.0,0.0,0.0,0.0
2007,July,63.6,92.19,7.81,21.99,11.42
2007,August,0.0,0.0,0.0,0.0,0.0
2007,September,0.0,0.0,0.0,0.0,0.0
2007,October,63.2,93.75,6.25,18.14,10.87
2007,November,0.0,0.0,0.0,0.0,0.0
2007,December,0.0,0.0,0.0,0.0,0.0
2007,Annual,64.03,92.68,7.32,20.14,12.05
2006,January,63.6,91.86,8.14,21.15,13.3
2006,February,0.0,0.0,0.0,0.0,0.0
2006,March,0.0,0.0,0.0,0.0,0.0
2006,April,64.8,91.77,8.23,25.41,15.46
2006,May,0.0,0.0,0.0,0.0,0.0
2006,June,0.0,0.0,0.0,0.0,0.0
2006,July,64.6,91.86,8.14,23.44,13.73
2006,August,0.0,0.0,0.0,0.0,0.0
2006,September,0.0,0.0,0.0,0.0,0.0
2006,October,63.8,92.61,7.39,20.32,13.05
2006,November,0.0,0.0,0.0,0.0,0.0
2006,December,0.0,0.0,0.0,0.0,0.0
2006,Annual,64.2,92.02,7.98,22.58,13.88
2005,January,66.0,88.6,11.4,16.0,9.8
2005,February,0.0,0.0,0.0,0.0,0.0
2005,March,0.0,0.0,0.0,0.0,0.0
2005,April,65.37,91.72,8.28,25.76,13.97
2005,May,0.0,0.0,0.0,0.0,0.0
2005,June,0.0,0.0,0.0,0.0,0.0
2005,July,65.09,92.3,7.7,20.17,12.8
2005,August,0.0,0.0,0.0,0.0,0.0
2005,September,0.0,0.0,0.0,0.0,0.0
2005,October,65.29,92.62,7.38,20.9,12.76
2005,November,0.0,0.0,0.0,0.0,0.0
2005,December,0.0,0.0,0.0,0.0,0.0
2005,Annual,65.25,92.21,7.79,22.28,13.18
