Year,Month,Labor Force Participation Rate,Employment Rate,Unemployment Rate,Underemployment Rate,Visible Underemployment Rate,MonthNum,Quarter
2012,May,0.0,0.0,0.0,0.0,0.0,5.0,Q2
2012,June,0.0,0.0,0.0,0.0,0.0,6.0,Q2
2012,July,64.01,92.95,7.05,22.81,12.45,7.0,Q3
2012,August,0.0,0.0,0.0,0.0,0.0,8.0,Q3
2012,September,0.0,0.0,0.0,0.0,0.0,9.0,Q3
2012,October,63.87,93.16,6.84,19.01,10.98,10.0,Q4
2012,November,0.0,0.0,0.0,0.0,0.0,11.0,Q4
2012,December,0.0,0.0,0.0,0.0,0.0,12.0,Q4
2013,January,64.08,92.91,7.09,20.91,11.86,1.0,Q1
2013,February,0.0,0.0,0.0,0.0,0.0,2.0,Q1
2013,March,0.0,0.0,0.0,0.0,0.0,3.0,Q1
2013,April,63.83,92.45,7.55,19.17,10.72,4.0,Q2
2013,May,0.0,0.0,0.0,0.0,0.0,5.0,Q2
2013,June,0.0,0.0,0.0,0.0,0.0,6.0,Q2
2013,July,63.87,92.71,7.29,19.23,11.19,7.0,Q3
2013,August,0.0,0.0,0.0,0.0,0.0,8.0,Q3
2013,September,0.0,0.0,0.0,0.0,0.0,9.0,Q3
2013,October,63.92,93.6,6.4,18.06,11.57,10.0,Q4
2013,November,0.0,0.0,0.0,0.0,0.0,11.0,Q4
2013,December,0.0,0.0,0.0,0.0,0.0,12.0,Q4
2014,January,63.76,92.46,7.54,19.5,11.97,1.0,Q1
2014,February,0.0,0.0,0.0,0.0,0.0,2.0,Q1
2014,March,0.0,0.0,0.0,0.0,0.0,3.0,Q1
2014,April,65.21,92.97,7.03,18.17,11.56,4.0,Q2
2014,May,0.0,0.0,0.0,0.0,0.0,5.0,Q2
2014,June,0.0,0.0,0.0,0.0,0.0,6.0,Q2
2014,July,64.4,93.26,6.74,18.33,11.38,7.0,Q3
2014,August,0.0,0.0,0.0,0.0,0.0,8.0,Q3
2014,September,0.0,0.0,0.0,0.0,0.0,9.0,Q3
2014,October,64.3,93.99,6.01,18.74,10.94,10.0,Q4
2014,November,0.0,0.0,0.0,0.0,0.0,11.0,Q4
2014,December,0.0,0.0,0.0,0.0,0.0,12.0,Q4
2015,January,63.7,93.43,6.57,17.9,11.23,1.0,Q1
2015,February,0.0,0.0,0.0,0.0,0.0,2.0,Q1
2015,March,0.0,0.0,0.0,0.0,0.0,3.0,Q1
2015,April,64.6,93.59,6.41,17.83,11.61,4.0,Q2
2015,May,0.0,0.0,0.0,0.0,0.0,5.0,Q2
2015,June,0.0,0.0,0.0,0.0,0.0,6.0,Q2
2015,July,62.9,93.5,6.5,20.98,10.81,7.0,Q3
2015,August,0.0,0.0,0.0,0.0,0.0,8.0,Q3
2015,September,0.0,0.0,0.0,0.0,0.0,9.0,Q3
2015,October,63.3,94.38,5.62,17.65,10.08,10.0,Q4
2015,November,0.0,0.0,0.0,0.0,0.0,11.0,Q4
2015,December,0.0,0.0,0.0,0.0,0.0,12.0,Q4
2016,January,63.55,94.31,5.69,19.6,10.17,1.0,Q1
2016,February,0.0,0.0,0.0,0.0,0.0,2.0,Q1
2016,March,0.0,0.0,0.0,0.0,0.0,3.0,Q1
2016,April,63.5,93.94,6.06,18.27,10.54,4.0,Q2
2016,May,0.0,0.0,0.0,0.0,0.0,5.0,Q2
2016,June,0.0,0.0,0.0,0.0,0.0,6.0,Q2
2016,July,63.24,94.61,5.39,17.42,9.68,7.0,Q3
2016,August,0.0,0.0,0.0,0.0,0.0,8.0,Q3
2016,September,0.0,0.0,0.0,0.0,0.0,9.0,Q3
2016,October,63.61,95.34,4.66,18.02,9.96,10.0,Q4
2016,November,0.0,0.0,0.0,0.0,0.0,11.0,Q4
2016,December,0.0,0.0,0.0,0.0,0.0,12.0,Q4
2017,January,60.66,93.44,6.56,16.26,9.76,1.0,Q1
2017,February,0.0,0.0,0.0,0.0,0.0,2.0,Q1
2017,March,0.0,0.0,0.0,0.0,0.0,3.0,Q1
2017,April,61.37,94.28,5.72,16.06,10.0,4.0,Q2
2017,May,0.0,0.0,0.0,0.0,0.0,5.0,Q2
2017,June,0.0,0.0,0.0,0.0,0.0,6.0,Q2
2017,July,60.64,94.42,5.58,16.28,8.56,7.0,Q3
2017,August,0.0,0.0,0.0,0.0,0.0,8.0,Q3
2017,September,0.0,0.0,0.0,0.0,0.0,9.0,Q3
2017,October,62.14,95.0,5.0,15.92,8.79,10.0,Q4
2017,November,0.0,0.0,0.0,0.0,0.0,11.0,Q4
2017,December,0.0,0.0,0.0,0.0,0.0,12.0,Q4
2018,January,62.17,94.74,5.26,17.96,10.57,1.0,Q1
2018,February,0.0,0.0,0.0,0.0,0.0,2.0,Q1
2018,March,0.0,0.0,0.0,0.0,0.0,3.0,Q1
2018,April,60.91,94.54,5.46,16.96,9.15,4.0,Q2
2018,May,0.0,0.0,0.0,0.0,0.0,5.0,Q2
2018,June,0.0,0.0,0.0,0.0,0.0,6.0,Q2
2018,July,60.06,94.58,5.42,17.23,8.11,7.0,Q3
2018,August,0.0,0.0,0.0,0.0,0.0,8.0,Q3
2018,September,0.0,0.0,0.0,0.0,0.0,9.0,Q3
2018,October,60.55,94.94,5.06,13.31,7.75,10.0,Q4
2018,November,0.0,0.0,0.0,0.0,0.0,11.0,Q4
2018,December,0.0,0.0,0.0,0.0,0.0,12.0,Q4
2019,January,60.24,94.71,5.29,15.42,7.97,1.0,Q1
2019,February,0.0,0.0,0.0,0.0,0.0,2.0,Q1
2019,March,0.0,0.0,0.0,0.0,0.0,3.0,Q1
2019,April,61.34,94.85,5.15,13.33,8.21,4.0,Q2
2019,May,0.0,0.0,0.0,0.0,0.0,5.0,Q2
2019,June,0.0,0.0,0.0,0.0,0.0,6.0,Q2
2019,July,62.06,94.58,5.42,13.64,8.45,7.0,Q3
2019,August,0.0,0.0,0.0,0.0,0.0,8.0,Q3
2019,September,0.0,0.0,0.0,0.0,0.0,9.0,Q3
2019,October,61.41,95.41,4.59,12.78,7.88,10.0,Q4
2019,November,0.0,0.0,0.0,0.0,0.0,11.0,Q4
2019,December,0.0,0.0,0.0,0.0,0.0,12.0,Q4
2020,January,61.69,94.68,5.32,14.81,8.93,1.0,Q1
2020,February,0.0,0.0,0.0,0.0,0.0,2.0,Q1
2020,March,0.0,0.0,0.0,0.0,0.0,3.0,Q1
2020,April,55.69,82.4,17.6,18.91,16.22,4.0,Q2
2020,May,0.0,0.0,0.0,0.0,0.0,5.0,Q2
2020,June,0.0,0.0,0.0,0.0,0.0,6.0,Q2
2020,July,61.94,90.04,9.96,17.28,12.49,7.0,Q3
2020,August,0.0,0.0,0.0,0.0,0.0,8.0,Q3
2020,September,0.0,0.0,0.0,0.0,0.0,9.0,Q3
2020,October,58.74,91.27,8.73,14.43,9.05,10.0,Q4
2020,November,0.0,0.0,0.0,0.0,0.0,11.0,Q4
2020,December,0.0,0.0,0.0,0.0,0.0,12.0,Q4
2021,January,60.5,91.23,8.77,15.97,10.98,1.0,Q1
2021,February,63.46,91.15,8.85,18.19,12.48,2.0,Q1
2021,March,65.01,92.94,7.06,16.18,10.87,3.0,Q1
2021,April,63.23,91.27,8.73,17.22,12.32,4.0,Q2
2021,May,64.57,92.28,7.72,12.28,8.87,5.0,Q2
2021,June,65.05,92.28,7.72,14.22,9.79,6.0,Q2
2021,July,59.41,92.81,7.19,21.04,11.01,7.0,Q3
2021,August,63.63,91.93,8.07,14.65,10.44,8.0,Q3
2021,September,63.35,91.06,8.94,14.18,10.13,9.0,Q3
2021,October,62.63,92.6,7.4,16.07,10.74,10.0,Q4
2021,November,64.25,93.5,6.5,16.75,11.53,11.0,Q4
2021,December,65.1,93.37,6.63,14.72,9.85,12.0,Q4
2022,January,60.54,93.61,6.39,14.86,8.94,1.0,Q1
2022,February,63.83,93.57,6.43,14.03,9.22,2.0,Q1
2022,March,65.37,94.23,5.77,15.8,10.24,3.0,Q1
2022,April,63.37,94.29,5.71,14.03,9.25,4.0,Q2
2022,May,64.04,94.03,5.97,14.47,9.82,5.0,Q2
2022,June,64.78,93.97,6.03,12.64,8.46,6.0,Q2
2022,July,65.23,94.79,5.21,13.8,9.02,7.0,Q3
2022,August,66.06,94.7,5.3,14.69,9.42,8.0,Q3
2022,September,65.18,95.01,4.99,15.4,9.83,9.0,Q3
2022,October,64.14,95.46,4.54,14.17,9.02,10.0,Q4
2022,November,67.45,95.8,4.2,14.4,9.33,11.0,Q4
2022,December,66.39,95.67,4.33,12.65,8.11,12.0,Q4
2023,January,64.5,95.22,4.78,14.05,9.67,1.0,Q1
2023,February,66.58,95.17,4.83,12.88,8.75,2.0,Q1
2023,March,66.01,95.26,4.74,11.2,7.75,3.0,Q1
2023,April,65.12,95.52,4.48,12.91,9.57,4.0,Q2
2023,May,65.35,95.7,4.3,11.73,7.64,5.0,Q2
2023,June,66.07,95.45,4.55,12.03,7.25,6.0,Q2
2023,July,60.09,95.15,4.85,15.92,8.03,7.0,Q3
2023,August,64.66,95.59,4.4,11.71,7.54,8.0,Q3
2023,September,64.1,95.47,4.53,10.73,6.85,9.0,Q3
2023,October,63.95,95.81,4.19,11.71,6.9,10.0,Q4
2023,November,65.89,96.44,3.56,11.66,6.83,11.0,Q4
2023,December,66.65,96.93,3.07,11.9,7.24,12.0,Q4
